Fruta,Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
Rojo,RGB,0,266857,1.5659999990020879,638.5696044937653,29.1
Rojo,HSV,0,63547,1.4816000002610963,674.9460042007115,54.1
Rojo,YCbCr,0,288452,1.0111000010510907,989.0218563549089,40.6
Rojo,LAB,0,250840,1.3666000013472512,731.743011132854,45.3
Verde,RGB,0,30343,1.6194999989238568,617.4745295859778,77.1
Verde,HSV,0,196573,1.3644999999087304,732.8691828998818,43.8
Verde,YCbCr,0,19616,0.7861000012781005,1272.1027838368207,53.5
Verde,LAB,0,37416,1.3187000004108995,758.3225901936798,36.7
Naranja,RGB,0,211194,0.9391000021423679,1064.8493213914396,39.1
Naranja,HSV,0,33356,1.0351000018999912,966.0902310544267,39.4
Naranja,YCbCr,0,20231,1.8697000014071818,534.8451619229693,58.7
Naranja,LAB,0,227137,2.6866000007430557,372.2176727921617,54.8
Amarillo,RGB,0,266857,1.1457000000518747,872.8288382252966,51.9
Amarillo,HSV,0,63547,1.3051999994786456,766.1661051175637,27.4
Amarillo,YCbCr,0,288452,1.2034999999741558,830.9098462995215,29.7
Amarillo,LAB,0,250840,1.2346000003162771,809.9789403400471,29.0
Rojo,RGB,1,269385,2.06610000168439,484.0036780333716,25.1
Rojo,HSV,1,51935,0.9361000011267606,1068.2619365413145,30.2
Rojo,YCbCr,1,289887,1.3223999994806945,756.200847241908,26.0
Rojo,LAB,1,252999,0.847700001031626,1179.6626150560687,34.5
Verde,RGB,1,30407,1.9701999990502372,507.5626842361507,53.7
Verde,HSV,1,213589,1.0509999992791563,951.474786570756,37.9
Verde,YCbCr,1,17687,2.0977000021957792,476.7125894804998,23.6
Verde,LAB,1,20429,0.7532000017818063,1327.66861077317,32.7
Naranja,RGB,1,197010,0.9374000001116656,1066.7804564549576,22.2
Naranja,HSV,1,31825,0.9061999990080949,1103.5091603338958,31.8
Naranja,YCbCr,1,17814,1.1484999995445833,870.7009145812206,29.6
Naranja,LAB,1,250411,1.0025000010500662,997.5062333691296,29.4
Amarillo,RGB,1,269385,1.3670000007550698,731.528894987304,29.4
Amarillo,HSV,1,51935,0.904399999853922,1105.7054402493577,35.8
Amarillo,YCbCr,1,289887,0.9970999999495689,1002.9084345106587,25.5
Amarillo,LAB,1,252999,1.0350999982620124,966.0902344498627,24.8
Rojo,RGB,2,250232,1.4200000005075708,704.2253518609548,33.7
Rojo,HSV,2,6088,0.8464999991701916,1181.3349096045856,33.3
Rojo,YCbCr,2,289511,1.1638999967544805,859.180344349589,28.3
Rojo,LAB,2,204810,1.551199999084929,644.6621973890611,30.0
Verde,RGB,2,31418,0.8735999981581699,1144.6886471020168,46.1
Verde,HSV,2,260740,1.088499997422332,918.6954546330657,45.2
Verde,YCbCr,2,23957,0.94600000011269,1057.0824523053673,42.6
Verde,LAB,2,50647,1.4871999992465135,672.4045188990369,50.7
Naranja,RGB,2,277063,2.1401000012701843,467.2678844009549,25.0
Naranja,HSV,2,32327,1.1001000020769425,909.0082702591056,25.8
Naranja,YCbCr,2,16753,1.29420000303071,772.6781004931516,31.7
Naranja,LAB,2,282677,0.9972999978344887,1002.7073119135405,29.2
Amarillo,RGB,2,250232,1.5603000028932001,640.9023893775178,33.3
Amarillo,HSV,2,6088,1.728499999444466,578.5363033389624,36.1
Amarillo,YCbCr,2,289511,1.4808999985689297,675.2650421813436,34.9
Amarillo,LAB,2,204810,0.8421999991696794,1187.3664224482247,23.5
Rojo,RGB,3,273491,1.3164999982109293,759.589822528644,32.4
Rojo,HSV,3,8643,0.9265000007872004,1079.3308139777123,27.6
Rojo,YCbCr,3,289770,0.7893000001786277,1266.945394366766,26.7
Rojo,LAB,3,255867,0.9449999997741543,1058.2010584539578,27.5
Verde,RGB,3,30408,1.6504999985045288,605.8770075165536,46.5
Verde,HSV,3,253591,1.4443000000028405,692.3769299993306,33.9
Verde,YCbCr,3,19267,0.9314000017184298,1073.6525640487475,36.8
